text,label
صرماي حسن نصر الله هو محور تسامح و سلام با طبل,1
ل+عن روح كل أسبوع جاي ان شاء الله,1
انجس من خنزير أنت امك أكيد ما مخلي واحد من شر شو اسم تسيفي ما خلا زعيم عربي الا ما ن,1
شاهد رد+ة فعل ناس في روسيا حين تم تحرش فتا+ة مسلم آخر غير مسلم,0
الله رحم أبو مخلف خول رسمي,1
أنا ما أقول مجنون ما اشوف هندوس في نهر غانج أو بوذي مارس يوغا في معبد أو يهودي عند حائ,1
الله مسخ يهودي الى قرد و خنزير,0
اسم الله على شعل+ة زكا,0
اي شرف يش انتو عند شرف,1
هو ماهو اساس كلب ارمني لاجيئ,1
أكيد مابقصد أن تحرش حي+ون اقتصر بس على شاب ل من بيئ+ة محافظ+ة و متشدد,1
مش ولي لا ألي هود ألن صفق+ة بيتقسموها حرام هالشعب شو موهوم,0
زطم مش بيئ حتى كول هو اشيك,1
معلا+ة بدا ان احتاج الى شعب جديد كل اسف,0
مشهد قطيع من ضبع هاجم ملك غاب+ة أسد تغير موقف بعد فزع أخ ما أجمل تعاون بين أخ,0
أحرق عرض روح عالمطبخ فضح دنيا أنت هبل,1
ديعانك ختيرتي,0
شو خص سعد يا مثقف انتي,0
من جد علم عند ظالم جد لو ان متبرج كان اظهروها علم ك+أن محارب ل,1
وئام وهاب وصرمايتي سوى وئام وهاب راسو راسي خنزير جسم إنسان عماد عثمان بدوي كسر رأس أنت ومعلمينك,1
جبران باسيل عمو ناطر شهاد+ة هني ليعرفو شو يعملو روح شراب ارجيل أنت,0
كتب عن جبران باسيل كل حرك+ة أمل عملولي ريتويت,0
ليس سر موقف وزير خارجي+ة لبنان باسيل جبران مؤيد نظام سوري مجرم لكن عجيب هو موقف بعض عربي متعاطف,0
بريطانيا مع توجه مرتب+ة أوربا متحمضة من روسيا من بعد قص+ة سكريبال ترامب انسحب من اتفاق نووي متحمض إيران ممكن لاقى دعم أي عملي+ة أو مقاطع+ة ضد بعد ما حل مشكل+ة كوريا فعلي محور مقاوم+ة رغم من انتصار عسكري وضع سياس,0
تمام بس مشكل+ة ان حشر شيخ شعراوى في موضوع مكنش موضوعى لا أمين أن مش موافق على صنف ممكن أكون غلطان,0
دخل مش اسيادك ولي قتلو شهيد وسام حسن دخل مش نتو تسبو في طالع نازل خراس يا منافق دم زلم برقبتك,1
لاء هود ما فات كرمالن على ما آلن اعتبار دول+ة ما بقدمو و أخرو شي بس جب,0
أهل سهل أمير قم+ة أمير قطر,0
يا قائد أراد مثل أشخاص خاف الله و قال كلم+ة حق و شعب واعي استطاع تفرق+ة بين فساد و عروب+ة,0
وهاب من يهلل وديعة قطر على ان علم أن وديعة مربح من أودع أن فائد+ة عالي هي ليس هب+ة كما اعتقد بعض,0
خريط+ة وضح وزع قاعد+ة عسكري أجنبي ضمن حد دول+ة سوري قائم+ة قوي مكتفي جدير ذكر إن تعرض اكترى من مر+ة خلال سن+ة ماضي غار+ة إسرائيلي,0
عرف شو مشكتنا لبنان انو أنت ومعلمينك الكن محل تحكو تعبرو عن حقد كره+كن حال بزق عحالك لانو ما الي مرو بزق على,1
نسوي هلأ صار بد تمثيل حسب كفاء+ة أما غير مطارح طالب ب حص+ة ما كان نسوان قليل تمثيل تبع مش يدحشوهن كل مطرح غصب,1
هذا هو وزير خارجي+ة جبران باسيل الذي يوظ ف دبلوماسي+ة لبناني مقاوم+ة تطبيق شعار عهد لبنان قوي تحصين لبنان,0
لو في دول+ة كان زمان في مجرور,1
وئام وهاب أنقبر سد بوز يا حقير يا عميل أيراني أسرائيل ا بايع كرام+ة يا ممثل بارع يا بايع أرض كرام+ة مال كفى متاجر+ة دم ا رئاء,1
ما بد جمهوري+ة سوري سني مثل,0
حريم هم لي يتوزون ورا تركي إيراني عشان حمى نفس,1
اي جبران باسيل سربل سؤال إذ هي,0
أكيد سياسي أن عاهر+ة أكبر من هي,1
صفق+ة بلدي+ة ما فهم الله شو قصد قصد صفق+ة مارسيلينو حرك مع جبران باسيل بل,0
بلطجي جبران باسيل مال مع حلال الله حرامي شيخ+ة,1
عمى ما اجحشك روح أسأل من وزير شأن نازح مين عم س+تلم مال نازح قبل ما تتفلسفي شو نفع إذ بنت حسب نسب+ة جاهل نعق مع كل ناعق,1
ادرس تاريخ قبل ما شرب بول بعير,0
أفتخر عنصري+ة ضد مجتمع ميم,1
نادم جهو تصبب عرق صهد و باغي سلم على ربع+ة بوس وجه,0
إن ع شو احتديت يا حمار هههه,1
ضفدع وسخ,1
ع قول+ة اخوي ميس كويس بس لي حوالي عرص+ة,1
معلوم+ة لجن+ة ال تم تشكيل معرف+ة رأس دول+ة من سيسي اتعجب من اكتشف فجأ+ة ان دستور لا صلح بعد تعليق رئيس ل+عن الله منافق,0
كيف قال على ترامب خنزير اونتم عند أكبر قاعد+ة عسكري ل الله ل+عن حليب حمار الي سوا في عقل كذا,1
ل الل اللهم ثبت على مبداك والي من دين باع آخر دنيا اعلم كم تعانى لكن حب في قلب رب أعان على ماانت في,0
لاء رح صححلك جبران باسيل نحس,0
"ان عاش وحيد طول عمر هذا أمر جيد أحب كثير لكن أنت محتاج إلى من اقتسم مع لحظ+ة سعاد+ة الذي عاش إلى أن استحوذ على كامل أعطى من نكد د خيب+ة أمل مالم خطر بال اعلم سيد ان مفقود لا محال+ة حين فكر في تغيير نمط عيش
مساء خير",0
لا ردى في مجال عمل+ة باير,1
نحن مع إنو قاتل أخذ عقاب إلى أي جه+ة حزب تيار مذهب مرجعي+ة إنتمى هذا نسب+ة مرحوم محمد أبو دياب,0
شكر معلا+ة وزير عدل,0
لو في دول+ة محترم واحد متلك أطلق نار على قو+ة أمن كان مكان سجن أقل شي,0
الله حذاء خسار في,1
خدو هالتغريده روح نامو انتزع سهر+ة هارب من عدال+ة بيحي وزير عدل خبص مبارح هاجم عدل عدال+ة داخلي,0
خليكن بزق ع بعض ع اساس أنت منزه يا عنصر إذ بد تنشهر ع حساب إهان+ة ناس من سعودي+ة شعب فلسطيني وقت تصويت إرب أيدول غيرو خبر ل حذف تغريد ضد باسيل وقت حكي عن رئيس بر هيدي مش حري+ة اعلام هيدي كمي+ة ل حكى ع,1
امنجى إبراهيم عيسى اتفووووووة,1
اي امرأ+ة متبرج نازع حجاب لاتشرفنا كا رجل ليس ذكر لن فكر نرتبط ب اشوف نازع حجاب كمي+ة استحق,0
فرح بس شاف عدد من نو اب و صحافي مقهور من وزير جبران باسيل بصيرو يصرحو و يحكو حكي فاضي مهم جرب,0
رح اخلعك بلوك قد رأس عن نص قلب شو واطي,1
ل+عن الله على يا ولاددين حرراام,1
قال ل حق صرماي مش حق أمان,1
أنت اشرب بول بعير سكت,1
الله يا معلا+ة وزير ما بيعجبك عجب,0
دعلي أنت مدان اعتذار شديد شعب خليجي عام شعب مملك+ة إمار+ة شكل خاصمن أين اتي,0
إسرائيل إلى زوال,1
بي ما فهم شو خص جبران باسيل,0
عزيز وجه+ة نظر هي وجه+ة نظر هذا أرض من بحر نهر هي فلسطين ليس من وجود كلم+ة اسرائيل,0
صراح راضي عن نفس أنت دافع عن جبران باسيل هههههههه,0
في خصام أنت خصم حكم,0
عماد عثمان مش قار+ي مش قار+ي عماد عثمان هيدا مجننك,0
هذا لو كان عند عقل فكر ب بول بعير جعل ب+هاءم,1
فرق+ة بين بين ياعرب انو نحن مشرق+ي و كلدان و اشور و رومي و سريان نحن أبناء فينيقي إسلام مسيح نحن أهل مشرق ساكن صلى,0
إن الله إن إلى راجع اللهم ارحم رزق فردوس أعلى من جن+ه اللهم احفظ مصر عروب+ة ناس طيب كل رجل مصر حكوم+ة شعب سائر بلد مسلم ناس طيب رزق أبناء مصر أهل حب مصر حرص على اللهم على كل خائن قذر أراد فتن+ة بين مسلم ناس طيب,1
صالح ابن عبدالله سليمان سعودي+ة هذا رد+ي على تهم+ة وهابي رجعي بول بعير تدمير   عراق,1
قل+ة ادبك مارس في بيت لا طلب من شارب بول بعير حرر ل ارضك يا شارب بول صهيو,1
ما خلص قص+ة إبريق زيت قيم+ة صار معروف عند كل ما بقى رخص حال عنجد عقاب وهاب وهاب قاتل أبو دياب,0
دول+ة لبناني قطب أراد إزال+ة إسرائيل من وجود لا أراد سلام عادل شامل لا مبادر+ة بيروت لا أراد اتفاق,0
لي صراخ يع فشل فشل أنا مالي دخلل,1
لعن+ة الله على يا خنزير,1
جبران باسيل ل كارول صار معود على خوزئ قبل أمير قطر في كارلوس سليم اغنى رجل عالم مسح صب,1
ياخي ولاد صغير من عمر تلا سن+ة بد حرق خاص ما اطلع مع باص بقرفوا,1
نوم ذلك عابث داعر فاجر الذي لا تورع عن مغازل+ة عين و تحرش ب حتى في وضح نهار و قد بلغ ب ال,0
نادي قرن لا احتاج شارب بول بعير حتى كان ل شعبي+ة سعودي+ة أصبح لا أشرف أي مسلم عربي ب,1
أنت صنفتو خان+ة خيان+ة هيدا رد على رد مش كل دواء فعال وان شاء الله كل افتخر شهاد+ة حريري,1
وحمرنتك,1
أنا كان جرب احكي انو لبنان و نحن لازم وحد+ة وطني+ة اي شي هوى من هي شعب عميل عدو صهيوني و كل وقاح+ة بدن يتجرأو على رناجرنا الي اطهر من من اذعمائهم نشالله رح يجي يوم يعرفو ان لا شيئ فقط ذباب لا أكثر,1
رجل ما قال أمن اسرائيل حق نصيح+ة وزير جبران باسيل حكى لغ+ة عربي,0
بعد صدور قرار أميركي معاقب+ة داعم أسد في إعاد+ة إعمار نبأ عن انعقاد مؤتمر إعاد+ة إعمار سوريا في عاصم+ة يمني,0
جبران باسيل ساجعل مسيحي في يوم ما نسي زعام+ة ميل شمعون و تجرب+ة بشير جميل,0
ذميم جاء مرغم بناء على طلب أسياد في طهران ضاحي+ة كلب مرسل كلب مستقبل كلب,1
لم رأى اقذر من خنزير دواعش الا من برر عل+ة,0
يش ما قاهركن الا وزير جبران باسيل لو بتفكوا شوي عن سمى من جر,0
بقي كد ضمن+ا فشل,0
دول+ة خليج في ماضي فقير منعدم عراق سوري مصر فلسطين يمن مزدهر فسقانين لم اهتم بدوي رحل اكلي الض,1
حسب الله على اذناب صها ين,1
هاذ مستوا بعض ناس ما بيعرفو انو كل شريف محب مكرو+ه من راعي قطيع و ملك فساد,0
مؤسف حزب كتيب+ة من بيار جميل كبير الى سامي صغير هبيل مستهبل سخيف الذي كل هم مهاجم+ة حزب كبير,1
أنت يا جبران باسيل بعقليتك فج نتن تقولربماوربما أفاد شكك تردد,1
مادام أخذ باير يتحم ل مايجي,1
كل خنزير معمم إيران صهيوني,1
سكت كلب عون+ي فلت كلب حزب الله قافل+ة سار كلب حزب الله نبح,1
داب و شكل مقضي سيمون فيما,1
رشو+ة إسلامي مؤلف قلب في إسلام من هم كيف استخدم رسول الله رشو+ة مال نشر إسلام,1
شكر يا أستاذ إبراهيم أنت وحيد اللي بتحسسنى أن أنا لس عقلى,0
لي سمع هالمزايدات على جبران باسيل فكر انو فوز صلوخ أو عدنان منصور كان اطلع كل يوم يحكوا إزال+ة اسرائيل من الو,0
اية ألله أعظم جبران باسيل قدس الله سر ذكر أن أمير قطر تخطاء حصار كلام كذب,0
ثم كان شيوعي على منهاج ماركسي,0
رغم ظرف الي عاش لبنان مرحل+ة سابق من حرب إغتيال غير ما شفت متل حال+ة الي ن,0
هيدي صور+ة بناي+ة مشروع جبران باسيل على طريق إد ه بترون,0
واحد من زغرتا سوى عشر+ون واحد قوتجي,1
مش عاجبك شي,0
هادي عامل متل قرع+ة لي تباهى شعر أخت كون هو فاشل بكلشي بس افتخر إنجاز غير من شيف وستايلست خ,0
بلد لا تحمل تطاول على جهاز أمني رئيس احترم نفس كفى إهان+ة والا سنعرضك على حكيم بيطري أو متخصص في عالم دين,1
قزم عهد,1
أنا مع ان هذا ميثاق نظام خال+ي لي خلا جبران باسيل أوقف توظيف,0
ميريام كلينك حال+ة نادر لن تكرر صلح أن ت در س وت د ر س في جامع+ة قسم علم نفس,0
مفكر حالو شي قص+ة هيدا حشر+ة,1
جبران باسيل لا قصد هذا كلام مقاوم صف أول,0
جبران باسيل بدوي عمل متل ميل شمعون بشير جميل,0
أنت أكل يا خنزير,1
جبران باسيل هو قليل من بشير جميل و قليل من سمير جعجع فارس سعيد,0
حاصلو ل+عن روح يا حافظ فرنسا بلجيكا,1
قرفتنا يا زلمي,0
امازيغي غير نظيف هههه على اساس ان رسول يا شارب بول بعير هو من اخترع ل صابون كل,1
سما مصري بعد استبعاد هل هي فقط من استحق استبعاد سمك بن مر هندي,0
ل كراي على عفو من من هون لعندن,1
سوري لبنان حيصير وضع شبيه وضع يهودي عشي+ة هولوكست,0
خنزير أبوظبي دياث+ه,1
ليك يا شعبان أنت تعبان روح نامي نوم+ة دون قو مة,1
عمر ماتدخلنا غير أبعد كلب عن منشار نحط في ذنب ياذنب أنت من حمى,1
أحسن حصار زاوي+ة فأر جربان عذر من فأر,1
خنزير جزير+ة عبري,1
لو في دول+ة أصل كان زجو الك سجن فور,0
وهاب لا حارب فساد وهاب حارب شخص شريف هو مدفوع ذلك هم وحيد هجوم عالرئيس سعد,0
يا ليل هل شرب بول بعير خلال هذا فتر+ة إستثنائي,1
ما عم تنباع مع جريد+ة ل+حق و+أ حال أكتب اكاذيب عن جبران باسيل بر بتسترزقوا ب عدد فل ست,0
بعد مين أنت يا نكر دون اسم صور+ة ما صار عند اسم منبقى منحكي روح انقبر,1
أنتبه طوق نجا+ة يخنئك ل ب+ران خس+ة راسي,1
صرماي عثمان راسي راسي ولي خلفو أنت من و+جب ان كان في سجن يا منافق يا ضيع لن سكت عن قبل ان تك,1
أخذ براد غسال انصرف,0
أخ حاج إذ شعر ان محرج من انتقاد تصريح جبران باسيل لا داعي أن هاجم منتقد,0
صفر أي حي امك اللي ابتديت من لا فقع,1
صباح خير كل ناس الا لي حكو ان لبس بنت هو سبب تحرش,1
منشان هي أنت لا شوارب يا لا شرف,1
بس مين مسيطر على زراع+ة حشيش مو كل جنوب,0
هآرتز الاف من لاجئ أفريقي ربع مليون في مصر وقع ضحي+ة تجار+ة عضو غير قانوني,0
ههههههههههه انقرض انتي وامثالج من شارب بول بعير طز بيج ماجد ل+وكي سلوكي,1
خرو معراب بقي+ة آذار حاقد,1
عن أي شرك+ة تحدث تحديد,0
رئيس حكومي فاشل,0
هاض نفط عربي و انتن يا شر ابين بول بعير ما إلك من,1
شيطان أحمد شاهين نعى دستور دا من سن+ة في اتصال مع عمرو أديب أعلن وفا+ة قبل مولد ما تقوليش ل لعب كبير إنس,1
يللي عائش على بول بعير صو,1
ها مثل مي ل يا غز يل و يا غز يل مي ل,0
هادي أكبر دليل ان حمل+ة مو ضدو تركي أو مسلم إن ضد موقف سياسي أو رمزي سياسي موضوع لان آخر ال,0
وليد جنبلاط عميل يهودي كلب متلك مال سيد عميل حقراء خنزير أشرف من,1
يا حمار قم+ة عنى زبال+ة,1
خفف أكل رازء خلص,1
أنت زاربينك مزرع مبتعرف شي بر كل ميخلص شعير عند بخبروك جمل+ة صرح حتى يكبولك يرجعو شعير,1
علاق+ة قائم+ة بين بين رئيس جمهوري+ة لم تتزعزع مطلق مبني على ثقةنحن حزب إثن ولس مطلق حزب واحد أ,0
كول هو من ع هل صباح مايعجبك انقلع يقطعك أنت يا لهي,1
ملاحظ عن تجرب+ة نوعي+ة فتا+ة الذي وجد في حمل+ة ضد تحرش هي أكثر ارتباط علاق+ة مع عد+ة رجل و ممارس+ة جنس خ,1
فهمان خدم ناس غلط,0
تدبير لازم وقاي+ة من تحرش مع شخص ذو اعاق,0
ماذا لو عاد معتذرا,0
هي ميمون مؤدب بس أنا مش مؤدب دراس+ة علمي أبرم حط في طيزه,1
إذ كان هو كد إرهاب رادو على باالعتف ده لو بقي أشد هيهدو بلد يااستاذ يوسف,0
ملاحد بقر ياخي,1
بس بقي قرف يا زلمي,0
"مديوني+ة صيدلي
لي في تقرير قال ان مديوني+ة تجاوز مليار جنيه",0
الى أين يا فصع سياس+ة يا جبران باسيل في زمن تبعي+ه تعطيل,1
هاذي كور+ة جلد خنزير في ظلم أ+كن ماتاصل دعاء,1
ل يا خنزير الا ردن قياد+ة جلال+ة ملك واح+ة أمن أمان قال نظير في عالم تلاحم اصطفاف شعب أردني خل,1
خنزير إلى تنبطح عدو نكح فداعش كل عرف بأس عند انتهى من خنزير نصيري+ه ستجعلكم تنهقون حمير فصبرآ,1
معليش ما رح تشكل كل نائب فاشل,0
خنزير نار و وقود ابليس اعتزل و ترك أكمل عمل الله ل+عن,1
صراح أنا أرى ان مقابل جبران باسيل معتدل أصر على ان اسرائيل معتدي,0
لا تقلو شرب بول بعير,1
ملأك لم نزل لا في حرب أكتوبر و لا في عهد نبي و لا في أي عهد آخر كل هذا مروي+ات لا تتعدي كون خروف,0
لاء يا رفيق هيدا من هو طب ات ولي بيلزقو عالحيط,0
قال ان أبو كل سن+ة في لبنان,0
سد نيع يا صرماي بشار,1
يا خنزير إذ كان تحت ضروف قسري كيف قلتو في تغريد سابق ان طالب ولي عهد خصوص قضي+ة خاشقجي بلهجت معارض مستنكر,0
يارب إمتحان بكر يجي محلول,0
لو دخل كان سمع دعاء سوري و فلسطيني و عراقي و افارق+ه مسلم الي دعا ل,0
لم نفس دة رمز بلد احترم بلد على أقل ناس زبال+ة,1
عن اي وطن تكلم,0
أنا من هنا أكره أسود ممارس+ة كل طريق غير شرعي+ة في كل مجال ولي بغا سمى عنصر أنا عنصر,1
وزير جبران باسيل كان أول من طرح موضوع عود+ة الى بلد ليس انطلاق من موقف عنصر معتبر ان جميع لاحق التقى على ا,0
